timestamp,latitude,longitude,speed,acceleration,rpm,engine_temperature
2026-06-15 18:02:00,12.935103,77.624474,73.55,-21.462,2239.0,99.0
2026-06-15 18:02:01,12.935103,77.624474,84.52,10.893,2423.0,97.5
2026-06-15 18:02:02,12.935103,77.624474,82.46,-2.04,2723.0,92.6
2026-06-15 18:02:03,12.935103,77.624474,67.11,-15.174,2775.0,98.4
2026-06-15 18:02:04,12.935103,77.624474,87.96,20.507,3393.0,94.0
2026-06-15 18:02:05,12.935103,77.624474,79.92,-8.213,2593.0,98.0
2026-06-15 18:02:06,12.935103,77.624474,94.09,14.268,2440.0,96.8
2026-06-15 18:02:07,12.934767,77.624371,64.38,-3.624,2507.0,91.7
2026-06-15 18:02:08,12.934767,77.624371,45.45,-19.078,2656.0,94.5
2026-06-15 18:02:09,12.934767,77.624371,57.63,-3.786,2245.0,98.4
2026-06-15 18:02:10,12.934767,77.624371,76.68,19.132,2732.0,101.5
2026-06-15 18:02:11,12.934767,77.624371,77.55,0.74,2461.0,92.2
2026-06-15 18:02:12,12.934767,77.624371,65.07,-12.202,2991.0,93.0
2026-06-15 18:02:13,12.934446,77.624225,68.56,3.934,3437.0,92.5
2026-06-15 18:02:14,12.934446,77.624225,65.23,-3.498,2980.0,99.9
2026-06-15 18:02:15,12.934446,77.624225,70.41,5.092,2562.0,95.0
2026-06-15 18:02:16,12.934446,77.624225,49.41,-20.887,2761.0,97.8
2026-06-15 18:02:17,12.934446,77.624225,59.65,10.174,2208.0,99.4
2026-06-15 18:02:18,12.934446,77.624225,75.49,15.675,2828.0,98.3
2026-06-15 18:02:19,12.934446,77.624225,89.55,14.036,3170.0,97.4
2026-06-15 18:02:20,12.934011,77.624025,106.18,16.781,2521.0,93.6
2026-06-15 18:02:21,12.934011,77.624025,99.97,-3.813,3108.0,96.7
2026-06-15 18:02:22,12.934011,77.624025,93.16,-6.919,3583.0,99.7
2026-06-15 18:02:23,12.934011,77.624025,93.57,0.322,2942.0,95.4
2026-06-15 18:02:24,12.934011,77.624025,93.96,0.427,2635.0,98.6
2026-06-15 18:02:25,12.934011,77.624025,90.32,-3.75,2937.0,94.4
2026-06-15 18:02:26,12.933622,77.62393,79.39,-10.868,3174.0,94.1
2026-06-15 18:02:27,12.933622,77.62393,99.07,19.558,3059.0,96.0
2026-06-15 18:02:28,12.933622,77.62393,79.88,-19.381,2373.0,99.0
2026-06-15 18:02:29,12.933622,77.62393,65.04,-14.946,2957.0,93.5
2026-06-15 18:02:30,12.933622,77.62393,83.79,18.811,3141.0,94.3
2026-06-15 18:02:31,12.933622,77.62393,71.2,-12.589,2759.0,99.6
2026-06-15 18:02:32,12.933353,77.623743,86.24,14.925,2613.0,97.4
2026-06-15 18:02:33,12.933353,77.623743,96.28,10.223,2887.0,91.7
2026-06-15 18:02:34,12.933353,77.623743,100.41,3.909,2978.0,93.8
2026-06-15 18:02:35,12.933353,77.623743,94.16,-6.251,3125.0,100.3
2026-06-15 18:02:36,12.933353,77.623743,101.22,7.18,2699.0,93.4
2026-06-15 18:02:37,12.933353,77.623743,103.23,2.058,3333.0,92.7
2026-06-15 18:02:38,12.933353,77.623743,107.29,4.337,3440.0,95.3
2026-06-15 18:02:39,12.932886,77.623736,116.33,9.158,3853.0,97.9
2026-06-15 18:02:40,12.932886,77.623736,108.15,-8.089,2308.0,93.0
2026-06-15 18:02:41,12.932886,77.623736,94.71,-13.618,2623.0,95.2
2026-06-15 18:02:42,12.932886,77.623736,65.19,-3.186,2296.0,99.2
2026-06-15 18:02:43,12.932886,77.623736,66.09,1.04,3567.0,93.4
2026-06-15 18:02:44,12.932886,77.623736,80.43,-4.437,2873.0,93.9
2026-06-15 18:02:45,12.932526,77.623555,82.2,1.689,2785.0,92.2
2026-06-15 18:02:46,12.932526,77.623555,93.74,11.417,3388.0,102.0
2026-06-15 18:02:47,12.932526,77.623555,91.71,-2.017,3352.0,98.9
2026-06-15 18:02:48,12.932526,77.623555,86.4,-5.301,2771.0,94.6
2026-06-15 18:02:49,12.932526,77.623555,88.04,1.627,2898.0,95.1
2026-06-15 18:02:50,12.932526,77.623555,87.31,-4.926,2882.0,95.9
2026-06-15 18:02:51,12.932215,77.623406,92.4,4.951,3050.0,92.6
2026-06-15 18:02:52,12.932215,77.623406,103.64,-4.734,3178.0,94.2
2026-06-15 18:02:53,12.932215,77.623406,91.07,-12.752,2916.0,96.5
2026-06-15 18:02:54,12.932215,77.623406,79.12,-11.81,2901.0,99.1
2026-06-15 18:02:55,12.932215,77.623406,75.64,-3.713,3125.0,98.2
2026-06-15 18:02:56,12.932215,77.623406,77.54,2.072,2138.0,96.7
2026-06-15 18:02:57,12.932215,77.623406,67.66,-9.906,2246.0,91.7
2026-06-15 18:02:58,12.931745,77.623285,78.55,10.664,3413.0,96.9
2026-06-15 18:02:59,12.931745,77.623285,67.37,-11.389,2524.0,93.1
2026-06-15 18:03:00,12.931745,77.623285,87.3,19.791,2523.0,101.2
2026-06-15 18:03:01,12.931745,77.623285,94.2,6.956,2489.0,100.2
2026-06-15 18:03:02,12.931745,77.623285,98.21,4.203,3480.0,94.8
2026-06-15 18:03:03,12.931745,77.623285,109.98,11.768,3525.0,97.3
2026-06-15 18:03:04,12.931406,77.623174,100.61,-9.205,2838.0,96.7
2026-06-15 18:03:05,12.931406,77.623174,98.01,-2.728,3225.0,98.4
2026-06-15 18:03:06,12.931406,77.623174,100.81,2.846,3769.0,95.0
2026-06-15 18:03:07,12.931406,77.623174,96.75,-3.849,3429.0,99.5
2026-06-15 18:03:08,12.931406,77.623174,103.74,6.866,3111.0,99.5
2026-06-15 18:03:09,12.931406,77.623174,96.52,-7.011,2145.0,97.4
2026-06-15 18:03:10,12.931033,77.623043,104.38,7.954,2596.0,100.4
2026-06-15 18:03:11,12.931033,77.623043,89.44,-4.118,3130.0,101.4
2026-06-15 18:03:12,12.931033,77.623043,82.53,-3.776,2295.0,96.1
2026-06-15 18:03:13,12.931033,77.623043,87.9,5.528,2988.0,101.7
2026-06-15 18:03:14,12.931033,77.623043,89.19,-5.3,3573.0,98.0
2026-06-15 18:03:15,12.931033,77.623043,92.32,3.132,3031.0,100.7
2026-06-15 18:03:16,12.931033,77.623043,96.29,3.884,3451.0,94.5
2026-06-15 18:03:17,12.93071,77.622874,85.2,-11.111,3091.0,100.0
2026-06-15 18:03:18,12.93071,77.622874,90.05,4.759,2970.0,98.1
2026-06-15 18:03:19,12.93071,77.622874,92.83,-5.079,3205.0,93.9
2026-06-15 18:03:20,12.93071,77.622874,69.33,-23.578,2344.0,97.2
2026-06-15 18:03:21,12.93071,77.622874,67.61,-1.58,2529.0,96.7
2026-06-15 18:03:22,12.93071,77.622874,47.23,-3.844,2995.0,95.5
2026-06-15 18:03:23,12.930239,77.622841,60.23,12.896,2924.0,97.9
2026-06-15 18:03:24,12.930239,77.622841,71.54,11.219,2811.0,101.1
2026-06-15 18:03:25,12.930239,77.622841,81.65,-5.049,2101.0,92.8
2026-06-15 18:03:26,12.930239,77.622841,73.5,-5.33,2931.0,99.4
2026-06-15 18:03:27,12.930239,77.622841,80.18,6.38,2192.0,91.8
2026-06-15 18:03:28,12.930239,77.622841,87.4,7.41,3430.0,99.0
2026-06-15 18:03:29,12.929832,77.622591,62.53,-25.052,2501.0,94.8
2026-06-15 18:03:30,12.929832,77.622591,84.17,21.591,4313.0,101.4
2026-06-15 18:03:31,12.929832,77.622591,93.85,9.468,3248.0,93.4
2026-06-15 18:03:32,12.929832,77.622591,92.56,-3.139,2599.0,97.8
2026-06-15 18:03:33,12.929832,77.622591,105.16,12.563,3803.0,98.1
2026-06-15 18:03:34,12.929832,77.622591,83.57,-4.299,2024.0,100.0
2026-06-15 18:03:35,12.929832,77.622591,80.87,-2.698,3023.0,97.8
2026-06-15 18:03:36,12.929457,77.622427,91.63,10.871,3043.0,93.7
2026-06-15 18:03:37,12.929457,77.622427,92.04,-5.413,3468.0,93.6
2026-06-15 18:03:38,12.929457,77.622427,101.34,8.965,3194.0,92.4
2026-06-15 18:03:39,12.929457,77.622427,99.68,-1.899,2993.0,96.5
2026-06-15 18:03:40,12.929457,77.622427,89.6,-10.219,3038.0,97.5
2026-06-15 18:03:41,12.929457,77.622427,106.22,16.71,3088.0,92.5
2026-06-15 18:03:42,12.929082,77.622364,108.61,2.622,3359.0,101.0
2026-06-15 18:03:43,12.929082,77.622364,96.19,-12.636,3848.0,102.2
2026-06-15 18:03:44,12.929082,77.622364,105.49,9.24,3273.0,97.4
2026-06-15 18:03:45,12.929082,77.622364,97.32,-8.074,2246.0,94.0
2026-06-15 18:03:46,12.929082,77.622364,85.35,-4.296,2598.0,91.7
2026-06-15 18:03:47,12.929082,77.622364,83.67,-1.576,2412.0,99.3
2026-06-15 18:03:48,12.928685,77.622226,100.53,16.925,3208.0,99.5
2026-06-15 18:03:49,12.928685,77.622226,110.54,9.689,3201.0,98.8
